Newspaper,City Published,State Published,Reporting Date,Data Source,Reporting Cycle,Standard Frequency,Frequency Description,Total Print,Total Digital Replica,Total Digital Nonreplica,Circulation
ADVOCATE,BATON ROUGE,LA,12/31/17,QR,QR,SUNDAY,Sun,"88,747","1,084","14,994",104825
"AKRON BEACON JOURNAL, SUNDAY AKRON JOURNAL",AKRON,OH,12/31/17,QR,QR,SUNDAY,Sun,"72,005","1,306",0,73311
ALBUQUERQUE JOURNAL,ALBUQUERQUE,NM,12/31/17,QR,QR,SUNDAY,Sun,"79,485","22,821",749,103055
ALTOONA MIRROR,ALTOONA,PA,12/31/17,QR,QR,SUNDAY,Sun,"25,862",991,0,26853
ANCHORAGE DAILY NEWS,ANCHORAGE,AK,12/31/17,QR,QR,SUNDAY,Sun,"24,716","7,676",673,33065
ARGUS LEADER,SIOUX FALLS,SD,12/31/17,QR,QR,SUNDAY,Sun,"27,910","1,802","1,661",31373
ARIZONA DAILY STAR,TUCSON,AZ,12/31/17,QR,QR,SUNDAY,Sun,"74,539","4,047",0,78586
ARIZONA REPUBLIC,PHOENIX,AZ,12/31/17,QR,QR,SUNDAY,Sun,"234,228","5,397","7,923",247548
ARKANSAS DEMOCRAT GAZETTE,LITTLE ROCK,AR,12/31/17,QR,QR,SUNDAY,Sun,"147,522","3,168",0,150690
ASBURY PARK PRESS,NEPTUNE,NJ,12/31/17,QR,QR,SUNDAY,Sun,"81,985","1,791","2,230",86006
ASHEVILLE CITIZEN-TIMES,ASHEVILLE,NC,12/31/17,QR,QR,SUNDAY,Sun,"26,980","1,493","1,778",30251
ATLANTA JOURNAL-CONSTITUTION,ATLANTA,GA,12/31/17,QR,QR,SUNDAY,Sun,"180,724","23,622","5,873",210219
AUGUSTA CHRONICLE,AUGUSTA,GA,12/31/17,QR,QR,SUNDAY,Sun,"27,485","1,268",0,28753
AUSTIN AMERICAN-STATESMAN,AUSTIN,TX,12/31/17,QR,QR,SUNDAY,Sun,"83,360","19,905","2,451",105716
BAKERSFIELD CALIFORNIAN,BAKERSFIELD,CA,12/31/17,QR,QR,SUNDAY,Sun,"26,224","1,712",0,27936
BEAUMONT ENTERPRISE,BEAUMONT,TX,12/31/17,QR,QR,SUNDAY,Sun,"13,806","4,357",0,18163
BEAVER COUNTY TIMES,BEAVER,PA,12/31/17,QR,QR,SUNDAY,Sun,"18,554","2,805",827,22186
BELLEVILLE NEWS-DEMOCRAT,BELLEVILLE,IL,12/31/17,QR,QR,SUNDAY,Sun,"25,045","3,844",904,29793
BILLINGS GAZETTE,BILLINGS,MT,12/31/17,QR,QR,SUNDAY,Sun,"25,583",655,"2,147",28385
BLADE,TOLEDO,OH,12/31/17,QR,QR,SUNDAY,Sun,"83,359",0,0,83359
BOSTON GLOBE,TAUNTON,MA,12/31/17,QR,QR,SUNDAY,Sun,"213,206","8,564","99,782",321552
"BOSTON HERALD, BOSTON SUNDAY HERALD",BOSTON,MA,12/31/17,QR,QR,SUNDAY,Sun,"42,821","16,194","20,910",79925
BRADENTON HERALD,BRADENTON,FL,12/31/17,QR,QR,SUNDAY,Sun,"19,300","3,466",837,23603
BUCKS COUNTY COURIER TIMES,LEVITTOWN,PA,12/31/17,QR,QR,SUNDAY,Sun,"27,860","2,781",327,30968
BUFFALO NEWS,BUFFALO,NY,12/31/17,QR,QR,SUNDAY,Sun,"158,789",281,"38,662",197732
BULLETIN,BEND,OR,12/31/17,QR,QR,SUNDAY,Sun,"19,922","1,012",0,20934
CAPE COD TIMES SUNDAY CAPE COD TIMES,HYANNIS,MA,12/31/17,QR,QR,SUNDAY,Sun,"24,682","1,962",0,26644
CAPITAL,ANNAPOLIS,MD,12/31/17,QR,QR,SUNDAY,Sun,"23,834",940,0,24774
CHARLOTTE OBSERVER,CHARLOTTE,NC,12/31/17,QR,QR,SUNDAY,Sun,"100,736","9,482","4,817",115035
