Rank,Name,Net Worth,Age,Source,Country of Citizenship
1,Jeff Bezos,112 ,54,Amazon,United States
2,Bill Gates,90 ,62,Microsoft,United States
3,Warren Buffett,84 ,87,Berkshire Hathaway,United States
4,Bernard Arnault,72 ,69,LVMH,France
5,Mark Zuckerberg,71 ,34,Facebook,United States
6,Amancio Ortega,70 ,82,Zara,Spain
7,Carlos Slim Helu,67.1 ,78,telecom,Mexico
8,Charles Koch,60 ,82,Koch Industries,United States
8,David Koch,60 ,78,Koch Industries,United States
10,Larry Ellison,58.5 ,73,software,United States
11,Michael Bloomberg,50 ,76,Bloomberg LP,United States
12,Larry Page,48.8 ,45,Google,United States
13,Sergey Brin,47.5 ,44,Google,United States
14,Jim Walton,46.4 ,70,Walmart,United States
15,S. Robson Walton,46.2 ,73,Walmart,United States
16,Alice Walton,46 ,68,Walmart,United States
17,Ma Huateng,45.3 ,46,internet media,China
18,Francoise Bettencourt Meyers,42.2 ,64,L'Oreal,France
19,Mukesh Ambani,40.1 ,61,"petrochemicals, oil & gas",India
20,Jack Ma,39 ,53,e-commerce,China
21,Sheldon Adelson,38.5 ,84,casinos,United States
22,Steve Ballmer,38.4 ,62,Microsoft,United States
23,Li Ka-shing,34.9 ,90,diversified,Hong Kong
24,Hui Ka Yan,30.3 ,59,real estate,China
24,Lee Shau Kee,30.3 ,90,real estate,Hong Kong
26,Wang Jianlin,30 ,63,real estate,China
27,Beate Heister & Karl Albrecht Jr.,29.8 ,66,supermarkets,Germany
28,Phil Knight,29.6 ,80,Nike,United States
29,Jorge Paulo Lemann,27.4 ,78,beer,Brazil
30,Francois Pinault,27 ,81,luxury goods,France
31,Georg Schaeffler,25.3 ,53,auto parts,Germany
32,Susanne Klatten,25 ,56,"BMW, pharmaceuticals",Germany
32,David Thomson,25 ,61,media,Canada
34,Jacqueline Mars,23.6 ,78,"candy, pet food",United States
34,John Mars,23.6 ,82,"candy, pet food",United States
36,Joseph Safra,23.5 ,79,banking,Brazil
37,Giovanni Ferrero,23 ,53,"Nutella, chocolates",Italy
37,Dietrich Mateschitz,23 ,74,Red Bull,Austria
39,Michael Dell,22.7 ,53,Dell computers,United States
39,Masayoshi Son,22.7 ,60,"internet, telecom",Japan
41,Serge Dassault,22.6 ,93,diversified,France
42,Stefan Quandt,22 ,52,BMW,Germany
43,Yang Huiyan,21.9 ,36,real estate,China
