year,wiki_ref,wiki_query,producer,distributor,name,country,director,cinematography,editing,studio,budget,gross,runtime,music,writer,starring,language,released
1970,/wiki/Love_Story_(1970_film),Love_Story_(1970_film),[[Howard G. Minsky]],[[Paramount Pictures]],Love Story,United States,[[Arthur Hiller]],Richard Kratina,[[Robert C. Jones]],Love Story Company,$2.2 million,$136.4 million,100 minutes,[[Francis Lai]],,"{{Plainlist|
* [[Ali MacGraw]]
* [[Ryan O'Neal]]}}",English,{{Film date|1970|12|16}}
1970,/wiki/Airport_(1970_film),Airport_(1970_film),[[Ross Hunter]],[[Universal Studios|Universal Pictures]],Airport,United States,[[George Seaton]],[[Ernest Laszlo]],[[Stuart Gilmore]],,$10.2 million,$100.5 million,137 minutes,[[Alfred Newman (composer)|Alfred Newman]],,[[Burt Lancaster]]<br>[[Dean Martin]]<br>[[Jean Seberg]]<br>[[Jacqueline Bisset]]<br>[[George Kennedy]]<br>[[Helen Hayes]]<br>[[Van Heflin]],English,"March 5, 1970"
1970,/wiki/MASH_(film),MASH_(film),[[Ingo Preminger]],[[20th Century Fox]],MASH,United States,[[Robert Altman]],Harold E. Stine,[[Danford B. Greene]],{{ubl|Aspen Productions|Ingo Preminger Productions}},$3.025 million,$81.6 million,116 minutes,[[Johnny Mandel]],,{{ubl|[[Donald Sutherland]]|[[Elliott Gould]]|[[Tom Skerritt]]|[[Sally Kellerman]]|[[Robert Duvall]]|[[Roger Bowen]]|[[René Auberjonois]]}},English,{{Film date|1970|1|25}}
1970,/wiki/Patton_(film),Patton_(film),[[Frank McCarthy (producer)|Frank McCarthy]],[[20th Century Fox]],Patton,United States,[[Franklin J. Schaffner]],[[Fred J. Koenekamp]],[[Hugh S. Fowler|Hugh Fowler]],,$12.6 million,$61.8 million <small>(United States)</small>,170 minutes,[[Jerry Goldsmith]],,"{{Plainlist|
* [[George C. Scott]]
* [[Karl Malden]]}}",{{ubl|English|German|French}},{{Film date|1970|2|4|New York City|1970|4|2|United States}}
1970,/wiki/Woodstock_(film),Woodstock_(film),Bob Maurice,[[Warner Bros.]],Woodstock,United States,[[Michael Wadleigh]],,Michael Wadleigh<br>[[Martin Scorsese]]<br>Stan Warnow<br>Yeu-Bun Yee<br>Jere Huggins <br>[[Thelma Schoonmaker]],,"$600,000",$50 million,185 minutes,,,,English,{{Film date|1970|03|26}}
1970,/wiki/Little_Big_Man_(film),Little_Big_Man_(film),[[Stuart Millar]],[[National General Pictures]],Little Big Man,United States,[[Arthur Penn]],[[Harry Stradling Jr.]],[[Dede Allen]],[[CBS|Cinema Center Films]],$15 million,"$31,559,552 {{small|(domestic)}}",139 minutes,[[John P. Hammond|John Hammond]],,[[Dustin Hoffman]]<br />[[Faye Dunaway]]<br />[[Chief Dan George]]<br />[[Martin Balsam]]<br />[[Richard Mulligan]]<br />[[Cal Bellini]],English,{{Film date|1970|12|23}}
1970,/wiki/Tora!_Tora!_Tora!,Tora!_Tora!_Tora!,[[Elmo Williams]]<br>Richard Fleischer<br>[[Darryl F. Zanuck]] (uncredited),[[20th Century Fox]],Tora! Tora! Tora!,Japan<br />United States,[[Richard Fleischer]]<br>[[Toshio Masuda (director)|Toshio Masuda]]<br>[[Kinji Fukasaku]],[[Charles F. Wheeler]]<br>Shinsaku Himeda<br>Masamichi Satoh<br>Osamu Furuya,[[James E. Newcom]]<br>[[Pembroke J. Herring]]<br>Inoue Chikaya,,$25.5 million,$29.5 million {{small|(domestic)}},144 minutes,[[Jerry Goldsmith]],,[[Martin Balsam]]<br>[[Sō Yamamura]]<br>[[Joseph Cotten]]<br>Tatsuya Mihashi<br>[[E. G. Marshall]]<br>[[James Whitmore]]<br>[[Takahiro Tamura]]<br>[[Eijirō Tōno]]<br>[[Jason Robards]],English<br>Japanese,{{Film date|1970|09|23}}
1970,/wiki/Chariots_of_the_Gods_(film),Chariots_of_the_Gods_(film),Manfred Barthel<br>Günther Eulau,[[Terra Film]],Chariots of the Gods,West Germany,[[Harald Reinl]],Ernst Wild,Hermann Haller,,,$25.9 million,92 minutes,[[Peter Thomas (composer)|Peter Thomas]],Harald Reinl<br>Wilhelm Roggersdorf<br>[[Erich von Däniken]],,German,{{film date|1970|4|26|df|=|yes}}
1970,/wiki/The_Aristocats,The_Aristocats,[[Winston Hibler]]<br/>Wolfgang Reitherman,[[Buena Vista Distribution]],The Aristocats,United States,[[Wolfgang Reitherman]],,,[[Walt Disney Animation Studios|Walt Disney Productions]],$4 million,$191 million,78 minutes,[[George Bruns]],,[[Phil Harris]]<br/>[[Eva Gabor]]<br/>[[Hermione Baddeley]]<br/>[[Gary Dubin]]<br/>[[Dean Clark (actor)|Dean Clark]]<br/>[[Sterling Holloway]]<br/>[[Roddy Maude-Roxby]]<br/>[[Louise English|Liz English]],English,{{Film date|1970|12|11|premiere|1970|12|24|United States}}
1971,/wiki/Fiddler_on_the_Roof_(film),Fiddler_on_the_Roof_(film),,[[United Artists]],Fiddler on the Roof,United States,[[Norman Jewison]],[[Oswald Morris]],"{{Plainlist|
* [[Antony Gibbs]]
* [[Robert Lawrence (film editor)|Robert Lawrence]]}}",[[Mirisch Company|The Mirisch Production Company]],$9 million,$83.3 million,179 minutes,"{{Plainlist|
* [[Jerry Bock]] |small|(Music)|
* [[Sheldon Harnick]] |small|(Lyrics)|
* [[John Williams]] |small|(Adaptation)|}} {{small|(Music)}} * [[Sheldon Harnick]] {{small|(Lyrics)}} * [[John Williams]] {{small|(Adaptation)}}",,"{{Plainlist|
* [[Chaim Topol|Topol]]
* [[Norma Crane]]
* [[Leonard Frey]]
* [[Molly Picon]]
* [[Paul Mann]]}}","{{Plainlist|
* English
* Hebrew
* Russian}}",{{Film date|1971|11|03}}
1971,/wiki/The_French_Connection_(film),The_French_Connection_(film),[[Philip D'Antoni]],[[20th Century Fox]],The French Connection,United States,[[William Friedkin]],[[Owen Roizman]],[[Gerald B. Greenberg]],Philip D'Antoni Productions,,"{{Plainlist|
* |USD|51.7 million|ref|{{cite web|url=http://boxofficemojo.com/movies/?id=frenchconnection.htm|publisher=[[Box Office Mojo]]|title=''The French Connection'', Box Office Information|accessdate=January 29, 2012}}|</ref>|
* |USD|75 million| |small|(rentals)|ref|Solomon, Aubrey (1989). ''Twentieth Century Fox: A Corporate and Financial History''. Lanham, Maryland: Scarecrow Press, p. 167, {{ISBN|978-0-8108-4244-1}}.|</ref>|}} {{USD|51.7 million}} * {{USD|75 million}} {{small|(rentals)}}",104 minutes,[[Don Ellis]],,"{{Plainlist|
* [[Gene Hackman]]
* [[Fernando Rey]]
* [[Roy Scheider]]
* [[Tony Lo Bianco]]
* [[Marcel Bozzuffi]]}}","{{Plainlist|
* English
* [[French Language|French]]}}",{{Film date|1971|10|09|United States}}
1971,/wiki/Diamonds_Are_Forever_(film),Diamonds_Are_Forever_(film),[[Harry Saltzman]]<br />[[Albert R. Broccoli]],[[United Artists]],Diamonds Are Forever,[[United Kingdom]],[[Guy Hamilton]],[[Ted Moore]],[[Bert Bates]]<br />[[John Holmes (film editor)|John Holmes]],[[Eon Productions]],$7.2 million,$116 million,120 minutes,[[John Barry (composer)|John Barry]],,[[Sean Connery]]<br />[[Jill St. John]]<br />[[Charles Gray (actor)|Charles Gray]]<br />[[Lana Wood]]<br />[[Jimmy Dean]]<br />[[Bruce Cabot]],English,"{{Film date|df|=|y|1971|12|14|West Germany|1971|12|17|USA premiere|1971|12|30|UK, premiere}}"
1971,/wiki/Dirty_Harry,Dirty_Harry,Don Siegel<br /> [[Robert Daley (producer)|Robert Daley]],[[Warner Bros.]],Dirty Harry,United States,[[Don Siegel]],[[Bruce Surtees]],Carl Pingitore,[[The Malpaso Company]],$4 million,$36 million,102 minutes,[[Lalo Schifrin]],,[[Clint Eastwood]]<br />[[Andrew Robinson (actor)|Andy Robinson]]<br />[[Harry Guardino]]<br />[[Reni Santoni]]<br />[[John Vernon]],English,{{Film date|1971|12|23}}
1971,/wiki/Billy_Jack,Billy_Jack,Tom Laughlin<br><small>as Mary Rose Solti</small>,[[Warner Bros.]],Billy Jack,United States,[[Tom Laughlin]]<br><small>as T.C. Frank</small>,[[Fred J. Koenekamp|Fred Koenekamp]]<br>[[John M. Stephens]],Larry Heath<br>Marion Rothman,National Student Film Corporation,"$800,000",$32.5 million <small>(rentals)</small>,114 minutes,"[[Mundell Lowe]], [[Dennis Lambert]], [[Brian Potter (musician)|Brian Potter]]",Tom Laughlin<br><small>(as Frank Christina)</small><br />[[Delores Taylor]]<br><small>(as Theresa Christina)</small>,[[Tom Laughlin]]<br>[[Delores Taylor]],English,{{Film date|1971|05|01}}
1971,/wiki/The_Last_Picture_Show,The_Last_Picture_Show,[[Stephen J. Friedman (producer)|Stephen J. Friedman]],[[Columbia Pictures]],The Last Picture Show,United States,[[Peter Bogdanovich]],[[Robert Surtees (cinematographer)|Robert Surtees]],[[Donn Cambern]],[[BBS Productions]],$1.3 million,$29.1 million,118 minutes,,,"{{plainlist|
* [[Timothy Bottoms]]
* [[Jeff Bridges]]
* [[Cybill Shepherd]]
* [[Eileen Brennan]]
* [[Ellen Burstyn]]
* [[Ben Johnson (actor)|Ben Johnson]]
* [[Cloris Leachman]]
* [[Randy Quaid]]}}",English,{{Film date|1971|10|22}}
1971,/wiki/Carnal_Knowledge,Carnal_Knowledge,Mike Nichols<br />[[Joseph E. Levine]],AVCO Embassy Pictures,Carnal Knowledge,United States,[[Mike Nichols]],[[Giuseppe Rotunno]],[[Sam O'Steen]],[[AVCO Embassy Pictures]],,"$12,351,000 (US/Canada rentals)",97 minutes,,[[Jules Feiffer]],"{{Plain list |
* [[Jack Nicholson]]<br />
* [[Art Garfunkel|Arthur Garfunkel]] 
* [[Ann-Margret]] 
* [[Candice Bergen]] 
* [[Rita Moreno]] 
* [[Carol Kane]]}}",English,{{Film date|1971|06|30}}
1971,/wiki/A_Clockwork_Orange_(film),A_Clockwork_Orange_(film),Stanley Kubrick,"{{Plain list|
* [[Warner Bros.]] |Small|(United&nbsp;States)|
* [[Columbia Pictures|Columbia]]-Warner Distributors |Small|(United&nbsp;Kingdom)|}} {{Small|(United&nbsp;States)}} * [[Columbia Pictures|Columbia]]-Warner Distributors {{Small|(United&nbsp;Kingdom)}}",,"{{Plain list|
* United Kingdom|ref| name=""BFI""|{{cite web |title=A Clockwork Orange (1971) |url=http://explore.bfi.org.uk/4ce2b6a7b69f6 |publisher=[[British Film Institute]] |accessdate=20 September 2014 }}|</ref>|
* United States|ref| name=""BFI""|}} * United States",[[Stanley Kubrick]],[[John Alcott]],[[Bill Butler (film editor)|Bill Butler]],"{{Plain list|
* Polaris Productions
* [[Hawk Films]]}}",$2.2 million,$26.6 million {{Small|(North&nbsp;America)}},136 minutes,[[Wendy Carlos]] {{efn|The film credits her by her birth name of Walter}},,"{{Plain list|
* [[Malcolm McDowell]]
* [[Patrick Magee (actor)|Patrick Magee]]
* [[Adrienne Corri]]
* [[Miriam Karlin]]
|<!-- Per poster billing block -->}}","{{Plain list|
* English
* [[Nadsat]]}}",{{Film date|df|=|yes|1971|12|19|New York City|1972|01|13|United Kingdom|1972|02|02|United States}}
1971,/wiki/Bedknobs_and_Broomsticks,Bedknobs_and_Broomsticks,[[Bill Walsh (producer)|Bill Walsh]],[[Walt Disney Studios Motion Pictures|Buena Vista Distribution]],Bedknobs and Broomsticks,United States,[[Robert Stevenson (director)|Robert Stevenson]],Frank Phillips,[[Cotton Warburton]],[[Walt Disney Pictures|Walt Disney Productions]],$20 million,$37.9 million,117 minutes <small>(1971 original version)</small><br>96 minutes <small>(1979 reissue version)</small><br>139 minutes <small>(1996 reconstruction version)</small>,'''Songs:'''<br> {{nowrap|[[Richard M. Sherman]]}} <br>[[Robert B. Sherman]]<br>'''Score:'''<br>[[Irwin Kostal]],,[[Dame Angela Lansbury]]<br />[[David Tomlinson]]<br />[[John Ericson]]<br />Ian Weighill<br />[[Cindy O'Callaghan]]<br />Roy Snart,English,{{Film date|1971|10|7|United Kingdom|1971|12|13|United States}}
1972,/wiki/The_Godfather,The_Godfather,[[Albert S. Ruddy]],[[Paramount Pictures]],The Godfather,United States,[[Francis Ford Coppola]],[[Gordon Willis]],"{{Plain list|
* [[William H. Reynolds|William Reynolds]]
* [[Peter Zinner]]}}",Alfran Productions,$6–7&nbsp;million,$245–286 million {{Sfn|Von Gunden|1991|p|=|36}},177 minutes,[[Nino Rota]],,"{{Plainlist|
* [[Marlon Brando]]
* [[Al Pacino]]
* [[James Caan]]
* [[Richard Castellano]]
* [[Robert Duvall]]
* [[Sterling Hayden]]
* [[John Marley]]
* [[Richard Conte]]
* [[Diane Keaton]]
|<!-- Per billing block in the film poster, Diane Keaton is placed last. Please do not change it! -->}}",English,{{Film date|1972|03|15|[[Loew's State Theatre (New York City)|Loew's State Theatre]]|1972|03|24|United States}}
1972,/wiki/The_Poseidon_Adventure_(1972_film),The_Poseidon_Adventure_(1972_film),[[Irwin Allen]],[[20th Century Fox]],The Poseidon Adventure,United States,[[Ronald Neame]],Harold E. Stine,[[Harold F. Kress]],"Kent Productions, Ltd.",$4.7 million,$127.3 million,117 minutes,[[John Williams]]<br>'''The Song from The Poseidon Adventure:'''<br>[[Joel Hirschhorn]]<br>[[Al Kasha]],,[[Gene Hackman]]<br>[[Ernest Borgnine]]<br>[[Red Buttons]]<br>[[Carol Lynley]]<br>[[Shelley Winters]]<br>[[Roddy McDowall]]<br>[[Stella Stevens]]<br>[[Jack Albertson]]<br>[[Pamela Sue Martin]]<br>[[Arthur O'Connell]]<br>[[Eric Shea]]<br>[[Leslie Nielsen]],English,{{Film date|1972|12|12}}
1972,/wiki/Behind_the_Green_Door,Behind_the_Green_Door,Artie Mitchell,Mitchell Brothers Film Group,Behind the Green Door,United States,[[Mitchell brothers|Artie Mitchell]] &<br />[[Mitchell brothers|Jim Mitchell]],Jon Fontana,Jon Fontana,,"$60,000",$50 million,72 minutes,Daniel Le Blanc,"Elliot Wax (original story), Artie Mitchell (screen adaptation)","{{Plain list|
*[[Marilyn Chambers]]                          
*[[Johnnie Keyes]]}}",English,{{Film date|1972|12|17}}
1972,/wiki/Deliverance,Deliverance,John Boorman,[[Warner Bros.]],Deliverance,United States,[[John Boorman]],[[Vilmos Zsigmond]],[[Tom Priestley]],Elmer Productions,$2 million,$46.1 million,110 minutes,[[Eric Weissberg]],,"{{Plainlist|
* [[Jon Voight]]
* [[Burt Reynolds]]
* [[Ned Beatty]]
* [[Ronny Cox]]}}",English,{{Film date|1972|07|30}}
1972,/wiki/Cabaret_(1972_film),Cabaret_(1972_film),[[Cy Feuer]],Allied Artists,Cabaret,United States,[[Bob Fosse]],[[Geoffrey Unsworth]],[[David Bretherton]],ABC Pictures<br/>[[Monogram Pictures|Allied Artists]],$2.3 million,$42.8 million,124 minutes,'''Songs:'''<br/>[[John Kander]]<br/>[[Fred Ebb]] {{small|(Lyrics)}} <br/>'''Adaptation score:'''<br/>[[Ralph Burns]],,"{{Plain list|
* [[Liza Minnelli]]
* [[Michael York]]
* [[Helmut Griem]]
* [[Joel Grey]]
* [[Fritz Wepper]]
* [[Marisa Berenson]]}}",English<br/>German,{{Film date|1972|2|13}}
1972,/wiki/The_Getaway_(1972_film),The_Getaway_(1972_film),"{{ubl|Mitchell Brower|ref| name=""afi""|David Foster|ref| name=""afi""}}",[[National General Pictures]],The Getaway,,[[Sam Peckinpah]],[[Lucien Ballard]],[[Robert L. Wolfe]],,$3.3 million {{sfn|Eliot|2011|p|=|222}} {{sfn|Weddle|1994|p|=|310}},$36.7 million {{small|(US)}},122 minutes,[[Quincy Jones]],,"{{Plainlist|
*[[Steve McQueen]]
*[[Ali MacGraw]]
*[[Ben Johnson (actor)|Ben Johnson]]
*[[Al Lettieri]]
*[[Sally Struthers]]}}",English,{{Film date|1972|12|13}}
1972,/wiki/Fritz_the_Cat_(film),Fritz_the_Cat_(film),[[Steve Krantz]],[[Cinemation Industries]],Fritz the Cat,United States,[[Ralph Bakshi]],"{{Plainlist|
* Ted Bemiller
* Gene Borghi}}",Renn Reynolds,"{{Plainlist|
* Aurica Finance Company
* Black Ink
* Fritz Productions
* [[Steve Krantz|Steve Krantz Productions]]}}","$700,000",$90 million,80 minutes,"{{Plainlist|
* [[Ed Bogas]]
* [[Ray Shanklin]]}}",,"{{Plainlist|
* [[Skip Hinnant]]
* [[Rosetta LeNoire]]
* John McCurry
* Judy Engles
* [[Phil Seuling]]}}",English,{{Film date|1972|04|12}}
1972,/wiki/The_Legend_of_Boggy_Creek,The_Legend_of_Boggy_Creek,Charles B. Pierce,[[Howco International Pictures]],The Legend of Boggy Creek,United States,[[Charles B. Pierce]],Charles B. Pierce,Tom Boutross,,"$100,000",$25 million,90 minutes,[[Jaime Mendoza-Nava]],Earl E. Smith,"William Stumpp<br>Chuck Pierce, Jr.<br>Vern Stierman<br>Willie E. Smith",English,{{Film date|1972|12|6}}
1972,/wiki/Jeremiah_Johnson_(film),Jeremiah_Johnson_(film),Joe Wizan,[[Warner Bros.]],Jeremiah Johnson,United States,[[Sydney Pollack]],[[Duke Callaghan]],[[Thomas Stanford (film editor)|Thomas Stanford]],Sanford Productions (III),$3.1 million,"$44,693,786",108 minutes<br>116 minutes {{small|(w/ Overture & Intermission)}},[[Tim McIntire]]<br>[[John Rubinstein]],,[[Robert Redford]]<br>[[Will Geer]],English,{{Film date|1972|12|21}}
